Load Factor,Time
0.1,3.12E-04
0.2,3.76E-04
0.3,5.64E-04
0.4,7.44E-04
0.5,9.30E-04
0.6,0.001308
0.7,0.00154
0.8,0.001008
0.9,0.001404
1,0.00218
,
,
,
,
,
,
Load Factor,Time
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,3.20E-04
,
,
,
,
,
,
Load Factor,Time
0.1,0
0.2,6.40E-05
0.3,0
0.4,0
0.5,0
0.6,1.92E-04
0.7,0
0.8,0
0.9,0
1,0.00874
,
,
,
,
,
,
Load Factor,Collisions
0.1,0.0053
0.2,0.02614
0.3,0.06706
0.4,0.13926
0.5,0.25968
0.6,0.46076
0.7,0.82822
0.8,1.64388
0.9,4.25166
1,122.90378
,
,
,
,
,
,
Load Factor,Probes
0.1,0.02004
0.2,0.02046
0.3,0.02142
0.4,0.02302
0.5,0.026
0.6,0.0275
0.7,0.03948
0.8,0.0512
0.9,0.11374
1,2.95224
,
,
,
,
,
,
,
Load Factor,Probes
0.1,0.0203
0.2,0.02112
0.3,0.02414
0.4,0.02952
0.5,0.04064
0.6,0.05864
0.7,0.11
0.8,0.23614
0.9,1.04236
1,494.894
