Load Factor	Time
0.1	2.0E-5
0.2	3.72E-5
0.3	9.120000000000001E-5
0.4	1.0E-4
0.5	7.1E-5
0.6	1.1999999999999999E-4
0.7	1.1059999999999999E-4
0.8	1.616E-4
0.9	2.1419999999999998E-4
1.0	0.0017039999999999998






Load Factor	Time
0.1	2.52E-5
0.2	5.28E-5
0.3	4.44E-5
0.4	4.8E-5
0.5	5.3E-5
0.6	6.96E-5
0.7	7.42E-5
0.8	9.92E-5
0.9	1.0619999999999999E-4
1.0	1.1399999999999999E-4






Load Factor	Time
0.1	1.6E-5
0.2	3.0E-5
0.3	2.9400000000000003E-5
0.4	4.08E-5
0.5	5.0E-5
0.6	7.319999999999999E-5
0.7	7.7E-5
0.8	1.072E-4
0.9	1.1699999999999998E-4
1.0	1.2599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	2.0
0.2	2.0
0.3	2.0
0.4	2.0
0.5	2.0
0.6	2.0
0.7	2.0
0.8	2.0
0.9	2.0
1.0	2.0






Load Factor	Probes
0.1	1.100636
0.2	1.200508
0.3	1.299032
0.4	1.40122
0.5	1.50172
0.6	1.599364
0.7	1.699378
0.8	1.800394
0.9	1.899524
1.0	1.998668
