Load Factor,Time
0.1,3.44E-4
0.2,4.28E-4
0.3,5.700000000000001E-4
0.4,6.72E-4
0.5,7.5E-4
0.6,0.0013199999999999998
0.7,0.0014979999999999998
0.8,0.0011679999999999998
0.9,0.0014039999999999999
1.0,0.0024999999999999996


Load Factor,Time
0.1,0.0
0.2,8.0E-6
0.3,1.2000000000000002E-5
0.4,1.6E-5
0.5,2.0E-5
0.6,3.5999999999999994E-5
0.7,2.7999999999999996E-5
0.8,3.2E-5
0.9,0.0
1.0,0.0


Load Factor,Time
0.1,0.0
0.2,8.0E-6
0.3,6.000000000000001E-6
0.4,1.6E-5
0.5,1.0E-5
0.6,2.3999999999999997E-5
0.7,2.7999999999999996E-5
0.8,0.0
0.9,2.8799999999999995E-4
1.0,0.009999999999999998


Load Factor,Collisions
0.1,0.0053
0.2,0.02614
0.3,0.06706
0.4,0.13926
0.5,0.25968
0.6,0.46076
0.7,0.82822
0.8,1.64388
0.9,4.25166
1.0,122.90378


Load Factor,Probes
0.1,0.02004
0.2,0.02046
0.3,0.02142
0.4,0.02302
0.5,0.026
0.6,0.0275
0.7,0.03948
0.8,0.0512
0.9,0.11374
1.0,2.95224


Load Factor,Probes
0.1,0.0203
0.2,0.02112
0.3,0.02414
0.4,0.02952
0.5,0.04064
0.6,0.05864
0.7,0.11
0.8,0.23614
0.9,1.04236
1.0,494.894
