Load Factor	Time
0.1	1.92E-5
0.2	3.64E-5
0.3	7.32E-5
0.4	5.92E-5
0.5	8.0E-5
0.6	1.296E-4
0.7	1.26E-4
0.8	1.36E-4
0.9	2.0339999999999998E-4
1.0	0.0017979999999999997


Load Factor	Time
0.1	2.4E-5
0.2	4.4E-5
0.3	3.9000000000000006E-5
0.4	4.4E-5
0.5	5.4E-5
0.6	7.56E-5
0.7	8.54E-5
0.8	8.48E-5
0.9	1.1339999999999999E-4
1.0	1.1599999999999999E-4


Load Factor	Time
0.1	1.5E-5
0.2	3.0E-5
0.3	3.0600000000000005E-5
0.4	4.16E-5
0.5	5.6E-5
0.6	9.12E-5
0.7	8.68E-5
0.8	9.92E-5
0.9	1.224E-4
1.0	1.3199999999999998E-4
