Load Factor,Put Time
0.1,2.2E-5
0.2,3.12E-5
0.3,6.54E-5
0.4,6.32E-5
0.5,1.4E-4
0.6,1.1279999999999999E-4
0.7,1.316E-4
0.8,1.488E-4
0.9,1.98E-4
1.0,2.1999999999999998E-4






Load Factor,Get Successful Time
0.1,2.5E-5
0.2,6.24E-5
0.3,4.6800000000000006E-5
0.4,4.96E-5
0.5,7.8E-5
0.6,9.36E-5
0.7,1.092E-4
0.8,1.008E-4
0.9,1.4039999999999997E-4
1.0,1.5599999999999997E-4






Load Factor,Get Unsuccessful Time
0.1,1.88E-5
0.2,3.12E-5
0.3,3.72E-5
0.4,6.24E-5
0.5,8.9E-5
0.6,9.36E-5
0.7,1.526E-4
0.8,1.744E-4
0.9,1.9619999999999997E-4
1.0,2.1799999999999999E-4






Load Factor,Average List Size
0.1,1.0477809048216782
0.2,1.1009408640624279
0.3,1.154550429608215
0.4,1.2107798148475508
0.5,1.2684045500208019
0.6,1.3267174357205402
0.7,1.388460780148343
0.8,1.4502043337906312
0.9,1.5142613130462699
1.0,1.5783077384428417
